Serial No,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie8,Movie9,Movie10
1,Shawshank Redemption, The (1994),In the Name of the Father (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Rear Window (1954),Notorious (1946),Departed, The (2006)
2,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Secrets & Lies (1996),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Day of the Doctor, The (2013),Three Billboards Outside Ebbing, Missouri (2017),
3,His Girl Friday (1940),Streetcar Named Desire, A (1951),Ran (1985),Touch of Evil (1958),Last Picture Show, The (1971),Day of the Doctor, The (2013),Three Billboards Outside Ebbing
4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Seventh Seal, The (Sjunde inseglet, Det) (1957),Andalusian Dog
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Touch of Evil (1958),Guess Who's Coming to Dinner (1967),,
6,His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),There Will Be Blood (2007),Three Billboards Outside Ebbing, Missouri (2017),
7,Shawshank Redemption, The (1994),Godfather, The (1972),Rear Window (1954),Streetcar Named Desire, A (1951),Grand Day Out with Wallace and Gromit, A (1989),Cyrano de Bergerac (1990)
8,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Touch of Evil (1958),On the Waterfront (1954),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
9,Shawshank Redemption, The (1994),Godfather, The (1972),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Matrix, The (1999),Fight Club (1999)
10,Shawshank Redemption, The (1994),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Grand Day Out with Wallace and Gromit, A (1989),Guess Who's Coming to Dinner (1967),Kelly's Heroes (1970)
11,Secrets & Lies (1996),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
12,Usual Suspects, The (1995),Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994),Forrest Gump (1994),Schindler's List (1993),Silence of the Lambs, The (1991),Reservoir Dogs (1992),
13,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Day of the Doctor, The (2013)
14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Outlaw Josey Wales, The (1976),Three Billboards Outside Ebbing, Missouri (2017)
15,In the Name of the Father (1993),Blade Runner (1982),Rear Window (1954),Streetcar Named Desire, A (1951),Paths of Glory (1957),All About My Mother (Todo sobre mi madre) (1999),Gallipoli (1981),,
16,Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing, Missouri (2017)
17,His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
18,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),
19,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967)
20,Star Wars: Episode IV - A New Hope (1977),Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Great Escape, The (1963),Yojimbo (1961),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),
21,Streetcar Named Desire, A (1951),Seventh Seal, The (Sjunde inseglet, Det) (1957),Guess Who's Coming to Dinner (1967),Outlaw Josey Wales, The (1976),In the Mood For Love (Fa yeung nin wa) (2000),Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo
22,Casablanca (1942),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Apocalypse Now (1979),Ran (1985),Guess Who's Coming to Dinner (1967),Night at the Opera, A (1935),
23,Shawshank Redemption, The (1994),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing
24,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Godfather, The (1972),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Guess Who's Coming to Dinner (1967),
25,Pulp Fiction (1994),Shawshank Redemption, The (1994),In the Name of the Father (1993),Wallace & Gromit: The Best of Aardman Animation (1996),Monty Python and the Holy Grail (1975),Fight Club (1999),Departed, The (2006),
26,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Ran (1985),Day of the Doctor
27,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),In Bruges (2008),Three Billboards Outside Ebbing, Missouri (2017)
28,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017),
29,Philadelphia Story, The (1940),His Girl Friday (1940),Streetcar Named Desire, A (1951),Fight Club (1999),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),Three Billboards Outside Ebbing, Missouri (2017)
30,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Seventh Seal, The (Sjunde inseglet, Det) (1957),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing
31,Shawshank Redemption, The (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Paths of Glory (1957),Fight Club (1999),Guess Who's Coming to Dinner (1967),Three Billboards Outside Ebbing, Missouri (2017)
32,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Rear Window (1954),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),,
33,Star Wars: Episode IV - A New Hope (1977),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Streetcar Named Desire, A (1951),Lawrence of Arabia (1962),Fight Club (1999),Hustler, The (1961),Three Billboards Outside Ebbing, Missouri (2017)
34,Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Philadelphia Story, The (1940),Paths of Glory (1957),Lawrence of Arabia (1962),Patton (1970),Gallipoli (1981),,
